id,aggression,offense,codemixed,tweet
4245,0,0,1,Jahan tak mjhe yaad hai.. demonetisation ko 6 saal hue hain..toh 8 saal kyu ?? 
3507,1,0,0,"cold shoulder gf, marital rape bf "
6969,0,0,0,"Think BCCI has enough revenue to make this work. Plus Women's Cricket is going great guns since the advent of OTT. WBBL is a mainstay now. Once a Women's IPL gets going, there's no turning back. "
6812,1,0,0,"Kejriwal’s Gujarat campaign:

We want Hindu Gods on currency notes, they want Godse. "
3427,0,0,1,छुपी हुई फसल है भाईजान 
2756,1,0,1,Hands doen  Demonetisation! 
3966,0,0,1,जोहर झारखंड 
7783,0,0,1,Bhagat Singh 
4509,1,0,1,"It's global inflation. Is Biden responsible for the dbl. hits of COVID, and then PUTIN?  I haven't heard a plan from the GQP to fix it. "
4251,1,0,0,"""Intellectual"" blamed economic situation (for all you know would have blamed demonetisation too). "
3969,0,0,1,"जय हो!

UAPA प्रकरणात प्राध्यापक GN साईबाबा आणि इतरांची निर्दोष मुक्तता करण्याचा मुंबई उच्च न्यायालयाचा आदेश सर्वोच्च न्यायालयाने रद्दबातल ठरवला.

म्हणजेच प्राध्यापक GN साईबाबा आता तुरुंगातच राहणार.

धन्यवाद शिंदे-फडणवीस सरकार "
3094,1,1,1,Rathiye.adivasi me sikha du 
7437,1,0,0,Gandhi on currency is unwittingly ironic. 
6480,1,0,0,"I admire you sir.

You represent the true ideology of the Congress party, the centrist nationalist ideology, which the Congress lost with the death of Indira Gandhi and shifted to a pseudo-leftist ideology. "
1354,1,0,0,Indian twt is the worst everyday they’re boycotting something and today Indian men are crying about the public interest litigation filed to make marital rape illegal in India 
3857,0,0,1,"they should have plugged all the loop holes, such as digital transactions, gst, gold, real estate... then, implemented Demonetisation... they did reverse n without checking to see if the currency notes fitted in the ATMs... "
7620,0,0,1,"#Twitter #BCCI #media #NewsUpdate Sourabh Ganguly chapter just
Interval _pic abhi baki hai..... "
1521,1,0,1,"There was Cholera in Blantyre, in the urban, was it a result of open defecation? "
6702,2,1,1,"terrorist
noun
a person who uses unlawful violence and intimidation, especially against civilians, in the pursuit of political aims.
Godse had a political aim btw. Now tel me, who he is! "
4977,1,0,0,We know how the FAKE gandhis work. We saw TEN YEARS of Maun Mohan Singh. He was the PM But ALL decisions were taken at the UPA Chairperson's office of Sonia maino. So try the OLD Congresses Divide n Rule by playing the Dalit Card. We have been used ENOUGH by this Fake gandhis. 
6379,1,0,0,"Remember when Genital Mutilation was in the media when it was considered something Muslim men forced on Muslim girls, now liberals have adopted and expanded the procedure it is an act of love. "
27,0,0,0,several undertrials in Tihar jail of delhi have asked to have an inquiry committee of their choice ! 
5666,0,0,1,Those that died from COVID-19 didn't wash they hand's probably? 
4598,1,1,0,"9. who once famously said he “would not even rape” Jess Phillips. 

In 2019 she attended a meeting with The Heritage Foundation, who had said they would help Donald Trump to “drain the swamp.”

She has posted in support of Donald Trump, implied Tommy Robinson is just "
7885,1,0,0,"Similar to when Hindus of India cheered Nehru as the PM only to realise that they got a raw deal.

Similar to when people of Delhi and Punjab cheered for Kejriwal only to realise they have been fooled. "
2354,0,1,0,"I have seen thousands of ppl got converted and after few months they did Gharwapasi. So, personally I think It doesn’t matter at all on religious aspect. The matter of concern is in broad daylight they are doing this. @USER @USER Stringent action must be taken. "
2740,0,0,0,"Bench asks whether earlier demonetisation was similar.

Divan: Yes and no.

Chidambaram, adding: The earlier demonetisation was similar & dissimilar. V few notes in circulation at that time. Here, the bulk of the currency has been taken away. #Demonetisation #SupremeCourtofIndia "
4833,1,0,0,High energy cost high inflation home mortgages for first time buyers out of reach 401K down 35% saving down 85% 71% of American now say they have to chose between necessities yes so many ways the POTUS and Dems have destroy america but a red wave is coming 
6902,0,0,0,"Sikandar Raza has shown the way to Pakistani Players if they want to play IPL, they move to some other country and play for that country then they will be eligible to play in IPL. "
4774,2,0,0,The media  is giving credibility and legitimacy  to election deniers by interviewing them  . @USER interviewing @USER focused on  fuckin inflation instead of securing our way of life our democracy . @USER @USER @USER @USER are complicit in the #Jan6 attack. 
4623,0,0,0,"Your-ours is like us vs them. Anyway thanks at least u said for support. And it's not my share, I also talked about Dalit Christians, so don't judge me on my identity. "
3326,0,1,1,Because of Dongi secularism policy 
6658,1,0,1,Oh bhagat Singh was Pakistani? 
6897,0,0,1,CSK must be looking closely to pick Sikandar Raza if he nominate himself for an IPL auction.. @USER 
5936,0,0,0,"No, remember how bad it was. The question is whether lockdowns were effective or actually lead to major issues we are seeing now. The initial wave came for the weak and all at once. Data shows we had already peaked before any lockdown we had. "
2339,1,0,0,"Let's talk straightforward about demonetisation 

Although 99% of currency was deposited back bt no one's looking at other side of it
People deposited money bt many of them don't have answer to the notice served on them by authorities regarding sources of cash in their possession "
3669,1,0,1,Marital Rape Ki PIL toh turant accept kar li. Yaha saamp soongh jata hai. 
96,1,0,0,Is their any criminal in this world who doesn't claim that case against him is fake ? Only a court of law can certify if case is based on facts or unsubstantiated. Till then they are suspects or undertrials. 
5235,1,1,0,"Hush. If you're not expected or required or its not demanded that wear hijab or else, shush. If, however, you wish to support these women to also not be required, then by any means "
5469,2,1,0,"You guys crack me up.  If people oust the migrants you whine ""see they don't want them either.""  If they treat them with dignity it's ""omg, the libs are wasteful.""  

Can't have it both ways. "
3226,2,0,0,"To hide their inCapability , to hide their own mistakes , to hide their own inability to maintain law and order. 
BJP started using bulldozers. 
If the criminal is muslims or falsely accused then they will stay in jail ,won't be given bail. 
House can be bulldozed or UAPA. "
1846,1,0,1,"@USER DTH tv service down since 24.09.2022 lodged complaint on 27 sept, No resolution till now. Repeatedly calling 0124 4448080 thrice a day, no one listens, only lip service by some unidentified customer service handler.. Hopelessly poor service at Gurugram sec 65 "
1073,1,1,1,"The way Rahul Gandhi changed his DP to Nehru holding a tricolour, I want to change it to Savarkar or Golwalkar holding the Flag.

Can anyone help and share some pictures of theirs holding the tricolour... "
6295,0,0,0,Are you pretending Muslims don’t watch porn or do you actually believe that? 
5824,0,0,1,"Kelso High School lockdown over a possible shooting #Kelso , Wa "
5707,0,0,0,"I noticed since my reaction to Pfizer I get back pain at L5 which is new for me… Must be a reason. I just do not understand, yet #COVID19 My treatment yesterday has seen that pain go… Interesting to see what happens over the nxt week #medical "
679,0,0,1,"Urban flooding is related to sewage,, this is flood related to creeks, rivers,,
I m just saying k urban flooding jahan b ho let the administration be responsible,, but jahan river/ creek flooding ho thats natural disaster...u cant blame administration.. "
4075,0,0,0,"The United India Job even was not possible your forefathers so as respected Sardar Patel did it. The truth is your since 2014 the changes Modi has done, The path hi prefare to make a developed India has opened your third eye. And now you will also follow that path. "
4036,2,0,0,one is a victim of marital rape condemning & disowning her son over raping this poor maid and one was condemning & disowning his son for having a disability... be serious?? 
4852,0,0,0,As evident when the Trump administration (and in fairness it continued under Biden) printed $15 trillion dollars to prop up the bond market. What this essentially did was allow the wealthiest to buy back stock and left the poor and middle class suffering from inflation. 
6380,0,0,1,Vaise m kabhi hindu muslim nahi krta..lekin train mein mall mein namaz padna ya padth puja krna sahi nahi hai..aisa krna acha nahi lagta.. 
3368,0,0,1,"Wish to see them visit the Adivasi belt from Ambaji to Umargam....go to North Gujarat districts like Banaskatha, Sabarkatha, Patan, Aravalli....Central Gujarat's Anand, Surendranagar, Kheda...or Kutch & rural Saurashtra districts like Junagadh, Gir Somnath, Dwarka, Amreli...!! "
7242,0,0,1,"Happiness is when what you think, what you say and what you do are in harmony.
-Mahatma Gandhi

Alexa Ilacad | KD Estrada @USER | @USER #AlexaIlacad | #KDEstrada #KDLex | #RunToMe "
5628,0,0,0,Because KF doesn't exist for them to hide behind anymore. So now they have nobody to tell them it's a shit idea. Sucks to be them though when they get caught cause uh...that's prison time and a long stint on the offender registry if I'm right. 
4343,2,1,1,Lynching करना तो sanatani experts का काम है ना? 
1248,2,1,1,"Hindutva is fundamentally opposed to Islam. That's the basis of Hindutva. Savarkar may have been secular, but Golwalkar pushed the Islamophobic rhetoric that it has since been associated with "
7504,2,0,0,"Year 2012 

- His worst year. Failed as a captain miserably in all formats including IPL and CLT20 

- However, he had just led the team to WC and 2nd IPL in 2011 and also went on to win CT in 2013. 

Law of averages .. 

Won ICC events in 2011 and 2013 

Can't win every year. "
1681,0,0,0,"All husbands can now claim they have suffered marital rape, whenever their wife threatens with a fake dowry case. "
8033,0,0,1,The amount of struggle and personal loss an Indian army man takes is beyond imagination.. thanks Tanaav for showing it. 
1612,0,0,1,Please improve website UI. 
4190,0,0,1,Sanjay bhai aata ka Hindustan ka Imaan maryada rakhne wale sardar paida hue hain chahe vah Gujarati sardar Patel ho ya Punjabi 
877,0,0,0,Thanks to @USER for taking up the issue of undertrials constituting 80 % of total imprisoned in the Country jails. They are not milch cow for corrupt criminal justice system. If they are freed by issuing Executive ordinance. It would be the best Independence Day gift 
7171,2,1,1,"Swine Pakistan one more GANDHI is coming it's tiger @USER Ji his grand mother ripped of swine Pakistan
Now Rahul ji is going to make many more small tiny parts of Pakistan so that their terror hub will roast in hell 
You are every day attacking innocent people "
5740,0,0,0,Or place orders for stuff to be shipped from Japan <.< Pokemon Center Japan not going to cost an arm and a leg this time 
3894,1,0,1,हमारी संस्कृति हमारा अभिमान! हम आदिवासी हमारा स्वाभिमान!! #we_want_saperate_adivasi_cennsuse_code 
2402,1,1,1,Modi Ji Deserves The Nobel Prize In Economic Sector For Demonetisation. @USER 
1302,2,1,1,"Yes, Netaji was a staunch anti-Hindutva leader. He hated Hindu Mahasabha and RSS. Golwalkar ,Savarkar ,Godse are not comparable even with the dust of his foot. #HindusAgainstHindutva #BharatJodoYatra "
662,0,0,1,"oh bhai ""urban flooding"" concrete / proper water drainage na honay ki wja se hoti hai. ye jo ap ne share kia hy isko ""sailaab"" / flood boltay hain iska koi hal nai hy other than building big dams. "
6337,0,1,1,Ye muslim ladkiya Gori bhut hoti hai but sundar nhi 
3998,0,0,0,yeah..she is a victim of marital rape 
3429,1,0,0,"He’s saying that if religion never existed, secularism would not have arrived at that point in a vacuum. His point is that the moral boundary regarding why it’s wrong was established through religion (and not from values of the enlightenment). "
84,2,1,1,Silly reason behind giving ratio of muslim population to Indian population and  ratio no of muslim undertrials to total no of undertrials; perhaps to seek attention and sympathy of readers and to make the point that muslims are being Ill treated... Continued...(2) 
793,1,0,1,"And ketaki Chitale , Saad Ansre and many of those unknown undertrials who never get a any hearing rotting in jail for years. "
1593,1,0,1,There is no rocket science in wasting public money on promoting only one language. #StopHindiImposition 
213,0,0,0,"Also, inland flood risk is typically associated with lower property values, and environmental disamenities (urban imperviousness, industrial activity, etc.) "
7379,1,1,0,"Do remember Ukraine and Myanmar peoples ' tears  

The enemy looks down on you,  laughs at you,  tramples you.  But you win. 
    Gandhi "
5039,1,0,1,Lynching testing ka aage kiya jaayega....yaa baad mein...? 
4898,2,0,1,dalit virodhi BJP.. hatras me bhi dikhaya tha apna rang… 
7396,0,0,0,"Then women’s cricket will never hold a respected place in Indian sports entertainment irrespective of how well they do. Our Indian men and their mentality about watching men play,  versus women, is still out from the dark ages. "
5067,1,0,0,"Basically his rise amply helped by hundreds of upper 'castes in his career is ignored. Some criticism of Kharge and that too due to his public profile and political choices becomes ""Upper Caste criticism of Dalit"", eg a crime. Thats how these scum manufacture data against Hindus! "
2311,0,0,0,"The only way Indian Railways can be a service on the global average, forget anywhere near top (except for our curr plan of some show pony coaches & lines that would be unaffordable to 98% of India), only a full overhaul starting with our open defecation tracks can save us. "
2453,0,0,0,"What's the use when household incomes r depleting since demonetisation, people have cut down spending even on essentials so much so that sales in Asia's largest veggies n fruits wholesale markets are down by 50%, FMCG sales r down by 10%, unable to redeem their pawned gold, etc? "
7414,0,0,0,You must be the change you want to see in the world.- Mahatma Gandhi #leadership 
4060,1,0,0,Yikes… that is definitely someone promoting marital rape. 
3536,1,0,0,@USER The Govt had a right to advise the RBI about its concerns on security and black money menace . Demonetisation decision is a measure executed only in secrecy The Congress Govt devalued Rupee in 1966 overnight. 14 banks were nationalised in1969 without a debate first. 
4469,0,0,0,"Recession, inflation or both? "
1019,2,1,1,"That's why you want to erase it? Like your guru Golwalkar said (erm, copied from his guru Adolf)? "
6633,0,0,0,He is above all law. He is going to Become prime minister of the Globe soon. 
1661,1,0,1,You want ISRO to make roads and flyovers?? 
1721,1,1,0,"The weepers under the abortion and marital rape judgements are mostly men, it's baffling. Not really. "
6117,0,1,0,"Truth. Let’s review some examples;
Soviet Union, China, DPRK, Cuba, Venezuela, and Russia, today. All fascist national socialist countries, that began as Marxist socialist revolutions. "
7530,2,1,1,जय का चमचा गंभीर 
1506,1,1,0,I would be type 1 AS and proudly so. Better to be that than being a open defecation loving trad any day. 
126,1,0,0,"All reasonable demands must always be met IN ALL CASES.Not only for VIP Undertrials.
Others are also humans. "
5073,0,0,1,Why Dalit savarn thing is bothering Congress now? 
2517,1,0,0,Mother of all loot is Demonetisation and variable GST. 
409,2,1,1,@USER More than 100 days has gone and still no care for those people who still just want to represent their views on Farmer's Bill and that's it! #ShameonIndianMedia #300DeathsAtProtest #FarmersProtests 
1060,1,1,1,"The national flag is a matter of pride for us. But, Mr. Savarkar and Mr. Golwalkar had not accepted the national flag...
Tiranga Virodhi RSS "
8009,0,0,0,have 2 tickets for glasgow show 24 january would make a great Christmas present for someone willing to sell on the cheap as have family emergency so now can’t go looking for 420 per ticket please message if interested 
6151,0,0,0,No an uc can't criticize a dalit. I have sympathies with Swarnim for thinking that the hateful IdPol politics he supports will be limited to hating on and cancelling others UCs but not him. 
4590,0,0,0,"Yes abortion is a fundamental right when it is employed as a remedy for victims of Rape, Incest, Assault or in a life threatening pregnancy, not as a backstop for failed contraception or other socio-economic reasons. "
3401,0,0,1,आप इशारा नही समझे जेब ढीली करो इसके लिए 
6008,2,1,0,First it was anarchist. Now it's marxist. Make your up mind. 
2513,2,0,1,It was a nice idea but implementation was worst..... If demonetisation implement account to account then it will be successful... At the same time tax waiver also should give for some extent.... 
914,1,0,0,More than four thousand cases are pending in the lower courts all over India. Supreme Court wants cases against undertrials dropped and to free those who did petty crimes. 76% of prisoners languishing in jails are undertrials. Indian jails are overcrowded. 
6327,0,0,0,"I get where you are coming from but conversely; as a Muslim, America's foreign policy is the worst. 

They are allied to Britain & France. They are the main reason MBS is still in power, and GNA against Libyans.

Why is there so many Muslims who sympathize with them? "
2920,0,0,0,"Crux of arguments made by @USER in SC in #DEMONetisation Case. 

Important Documents are not placed in public record. 

1. The letter originating from Govt to RBI seeking recommendations from RBI for demonetising 500 &1000 Rupees notes, dt. 7th November 2016 "
3692,2,1,0,All this to prove how Govt is great and give orgasm to right wing with arrests without any proofs under UAPA 
7626,0,0,1,Appreciated.. very good step. 
2414,0,1,1,"Abhi isliye tweet kar rahe hain Kyunki Badi sankhya mein Bahujan Apne Ghar wapasi kar rahe hain  boudh religion join
Namo buddhay Jay Bheem "
6522,2,1,1,Nehru born to a Muslim become pM & Indira Gandhi born to a Muslim and married a Muslim become pM 
5971,1,0,0,"Because our population is chemically castrated by Atrazine and other endocrine disrupters, corrupted by Marxist school system and grew up being bounced like tennis balls in broken homes without strong father figures. "
4650,0,0,0,"2 things worth pointing out about Graham Norton:
1 he didn't say a thing against JKR. He avoided mentioning her. Yet this was enough to get him labeled (by her) as a supporter of death and rape threats. 
2. He asked us to listen to trans people. So please, can we start doing that "
2700,0,0,1,"Sr Adv P Chidambaram argued that demonetisation in 1978 was done by a separate law, there was an ordinance followed by an act...similarly in the 1940's...whether demonetisation of this kind requires a separate law is not academic. This is a live issue. "
3444,0,0,0,"If they really want enforce secularism in institutions, nobody should be allowed to wear anything that represents any religion and students shouldn't be made to sing Hindu prayers and school syllabus shouldn't have Hindu mythology. You can't get selective about uniformity. "
8102,1,0,0,"If I remember right , Pakistani media used to quote NDTV's journalists and defame India several times , also many a times terrorists have taken the help of their news to strike back on Indian Army . "
6577,1,0,1,"Indira Gandhi,w/o Feroze Khan belonged to which religion ? "
8218,0,0,1,"SO IN ONLY TOLD TWO,IN TWICE INDIAN ARMY SURE COMES!!!
 WHERE AND WHERE COMES #TWITTER OR #OPPORTUNITY OR @USER G TOO!
 OR ANY PARTICULAR BONDING WITH @USER SO SURE!!
 POINT OF CONCLUSION-----? "
6439,1,1,1,"India has been diverse since ages - Rajiv Gandhi ( Muslim pm), manmohan singh ( sikh) , modi ( dalit , obc) , indira Gandhi ( furst lady pm) - Isn't this diverse? Also read President's name, which is highest constitutional post .. "
6796,1,0,1,Why did @USER missed Bhagat Singh 
4539,0,0,1,అలాంటి మాటలు చెప్పెవట్టికనే  అజాగ్రత్త తో చాలా మంది ప్రాణాలు కోల్పోయారు...ఆ పాపం నీదే 
1451,2,0,0,"The debate around what happens inside the bedroom should remain there; keeping eyes and ears bunged from the screams of silence coming from these bedrooms are surely a sordid saga of marital rape.
(2/2) "
6309,0,0,0,"No they are not. By Muslim they mean brown.
It's like when MAGAs refer to all central ad south Americans as Mexicans.
Just shear ignorance. "
1322,0,0,1,"Do you support #MaritalRape ? #BoycottMarriage #MarriageStrike #MeToo #Feminist Yes:- Sex without Permission is Rape even after marriage
No:- Husband can have sex with/without her wife's permission. Because marriage gives him full rights. "
7932,0,0,0,"@USER is now ‘The Boss’. Reading the Trend, Accident and Emergency rooms are very busy "
6047,2,1,0,"Average “marxist”-leninist
Marx would prefer anarchist nihilism 100x more than whatever the fuck is your shitty statist ideology "
4690,2,1,0,"One also is not illiterate and blind to know her father pimped her and she shown panic many times when she wounded her fingers, are you blind? Is marital rape a joke to you? "
3632,2,0,1,India is not a company started by #NarendraModi it's hard work of lot of people that's still standing after foolish decision of demonetisation and gst. 
998,1,0,0,M.S. Golwalkar – had once said the tricolour could never represent free India and that the saffron flag had to be made the national ensign of free India. #PlasticFreeTiranga 
3579,2,1,0,"..
Sr advocate @USER said issue has not become academic n has to be decided by SC (b'c) this kind of demonetisation requires separate act of Parliament.
~
And this guy supposedly is Triple IQ420, sorry IQ480! Do they believe in anything now ex opposing everything? "
5596,2,1,0,It is not a conspiracy if it is factual. Is illegal mass wave migration occurring? Answer yes. Have their been young teen girls raped and murdered in Europe and by an illegal entry migrants with marks found on body. Factual information verified. She was the 12 th #LaraLogan facts 
3993,0,1,1,TKF ne aur ussey support karney walo ne Kashmir mein KP's ki ghar wapasi par ek na khatam honewala prashan chinh laga diya hai.. They minted money by selling their pain and hardships and now are nowhere to be seen.. 
4186,2,1,0,"What does a white woman promoting marital rape know what a brown rights activists would have wanted. You’re literally the furthest from knowing. If you did know, you’d know Jesus would have laughed at your take and moved on to actually being a Christian like you so want to "
7315,2,1,0,He is pronouncing MKG as Gandhi without emphasising that extra A!! When pronouncing Gandhi you must add that extra A otherwise the meaning in Hindi is different!! Mohammad Gandhi w/o emphasis on that extra A!! 
7609,0,0,0,"I never knew there was disparity - BCCI could afford to pay any amounts as its coffers are full - actually, it should have been a universal fact and all sportsmen and sportswomen be treated equally just as other occupations "
1137,2,0,1,"Soon we will have Hegdewar, Golwalkar and Godse join the pantheon of Heroes of the Freedom Struggle.  We are witnessing the process of bogus history being re-written and stuffed down our throats. 2/2 "
3238,2,1,0,You will cry about demonetisation even in 2116. 
6566,1,0,1,"You should ask your political masters. 
Which party ruled this country from 1947 ? What were they doing for the last 75 years ? Why didn't Nehru offer PM position to Maulana Azad ?
Why didn't Indira Gandhi / Rajiv Gandhi offer PM chair to a Muslim or a Christian or a Dalit ? "
5052,0,0,1,"in shimpi(tailor) caste.  In Maharashtra, their bhajans, kirtans, bhakti geets are sung by all castes. Many kings and queens of India are also from the shudra/dalit caste. People have created the oppression narrative to gain financial benefits and support their 4/n "
5087,2,1,0,"with more “conventional” violent means for the time like whipping, beatings, lynching, or other example-making violence. those things were already enough to strip slaves of their personhood, much less their masculinity. sexual violence in slavery largely happened in secret. "
5722,0,0,0,"Hochul will most likely take the CDC recommendation and include the Covid 19 shots for kids to attend school. @USER already confirmed he would not. She has yet to answer my question about this, which I posed this morning. NY needs to hear her position on this. "
6139,0,0,1,"That's ur interpretation only. Kantara is a masterpiece, I agree. But Karnan is not less. It's not a Dalit glorifying film, there is more to it.... "
2600,1,0,0,"""Demonetisation"" and ""Agusta Westland"". These are my favourite. "
6332,0,0,1,"To AP Christian Hain?
Naam Muslims Wala hai apka "
3665,0,0,1,"नक्सलियों के साथ कथित संबंध के मामले में साल 2017 में गिरफ़्तार किए गए प्रोफ़ेसर जीएन साईबाबा को बॉम्बे हाई कोर्ट की नागपुर बेंच ने रिहा कर दिया है। उन्हें UAPA के तहत गिरफ्तार किया गया था, हाई कोर्ट ने उनके खिलाफ चलाए गए मुक़दमे को भी खारिज कर दिया है। सवाल वही इतने साल जेल में "
849,1,1,0,Aren't honourable Judges aware about previous judgements? What about checks and balances? There are thousands of undertrials  still languishing in prisons without any trials for so many years. What about protection of common citizens as guaranteed by constitution? 
3150,0,0,0,"Now it's seems the supreme court will lay down the norms for demonetisation, we can stop having elections and do away with parliamentary democracy. Judiciary will run the country. "
8011,0,0,0,What? You mean you don't have an emergency hippo ready to present her with? Amateur. 
6052,1,1,0,U do know that the Nazis began Antifa and George Soros pays Marxist groups. 
2181,1,1,0,"Very unfortunate, i am happy That India have become 5th largest economy, once they were far behind Pak in Every sector, its our fake love for Jihad and I am sorry Madrassas can only produce Janoonis Not Businesmen mind people.
You know the failure rate of start up is 95% in Pak "
4527,1,0,0,"Biden caused global inflation, global supply chain problems? Wow, he's more powerful than I thought if he can control their whole world's economies like that. "
5248,1,1,0,I have friends in India and surprisingly they are Indians but still saying India is turning into nutshell. From boycotting Bollywood just because Muslims actors to destroying mosque and Banning hijabs. You need to watch Dhruv Rathee videos about modi BJP party. 
4853,2,1,1,"Dalit मतलब ready to cut his Lully and accept islam with halala of his Mother, sister, daughter etc etc "
4568,2,1,0,"Mark Zuckerburg is a fraud and enabler of hate, violence, lynching, genocide. End of story. "
1455,1,0,0,"When your wife files false marital rape law after this law is passed, then you say % "
3876,1,0,0,"since BJP came to Power UAPA, NSA is used against those who speak against BJP
constitution crying at Corner "
4708,1,0,0,Aside from the marital rape she endured. You would think her station as queen would allow her to be able to reject these advances! 
3417,0,0,1,अब तो गांव में भी नजर नहीं आते जुगनू पहले हम हाथो में बंद कर लेते थे उसको अब तो मुश्किल से ही नजर आते है 6 महीने में 1 या 2 बार 
4438,1,0,0,Is Biden responsible for the UK's inflation too? and every other country going through it? 
